Date and time (UTC),Rocket,Flight number,Launch site,LSP,Payload (⚀ = CubeSat),Operator,Orbit,Function,Decay (UTC),Outcome, Remarks

7 January 02:19:21,Falcon 9 Block 5,Starlink V1.0-L2,Cape Canaveral SLC-40,SpaceX,Starlink x 60, SpaceX, Low Earth, Communications, In orbit, Operational,

7 January 15:20:14,Long March 3B/E,3B-Y62,Xichang LC-2,CASC,TJSW-5,Ministry of Agriculture and Rural Affairs,Geosynchronous,Technology demonstration,In orbit,Operational

15 January 02:53,Long March 2D,2D-Y58,Taiyuan LC-9,CASC,"Jilin-1 Kuanfu-01 (Wideband-01) 
ÑuSat 7 (Sophie) 
ÑuSat 8 (Marie) 
Tianqi-5","Chang Guang Satellite Technology
Satellogic
Satellogic
Guodian Gaoke","Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)
Low Earth (SSO)","Earth observation
Earth observation
Earth observation
Tech demonstration","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational"

16 January 03:02,Kuaizhou 1A,Y9,Jiuquan LA-4,ExPace,Yinhe-1 / GS-SparkSat-03 / Galaxy-1,Galaxy Space,Low Earth (SSO),Technology demonstration,In orbit,Operational

16 January 21:05,Ariane 5 ECA,VA251,Kourou ELA-3,Arianespace,"Eutelsat Konnect
GSAT-30","Eutelsat
ISRO","Geosynchronous
Geosynchronous","Communications
Communications","In orbit
In orbit","Operational
Operational",GSAT-30 will replace INSAT-4A.

29 January 14:06:49,Falcon 9 Block 5,Starlink V1.0-L3,Cape Canaveral SLC-40,SpaceX,Starlink × 60,SpaceX,Low Earth,Communications,In orbit,Operational

31 January 02:56,Electron,Birds of a Feather,Mahia LC-1A,Rocket Lab,NROL-151,NRO,Low Earth,Reconnaissance,In orbit,Operational,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.,First launch contracted via the NRO's Rapid Acquisition of a Small Rocket (RASR) program.

6 February 21:42:41,Soyuz-2.1b / Fregat,ST27,Baikonur Site 31/6,Arianespace / Starsem,OneWeb × 34,OneWeb,Low Earth,Communications,In orbit,Operational,Second OneWeb mission. Baikonur flight 1.

9 February 01:34,H-IIA 202,F41,Tanegashima LA-Y1,MHI,IGS-Optical 7,CSICE,Low Earth (SSO),Reconnaissance,In orbit,Operational

9 February 15:45,Simorgh,,Semnan LP-2,Semnan LP-2,ISA,ISA
9 February 15:45,Zafar 1,IUST,Low Earth,Earth observation,9 February,Launch failure
9 February 15:45,Satellite failed to reach orbit.,Satellite failed to reach orbit.,Satellite failed to reach orbit.,Satellite failed to reach orbit.,Satellite failed to reach orbit.,Satellite failed to reach orbit.
10 February 04:03,Atlas V 411,AV-087,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
10 February 04:03,Solar Orbiter,ESA,Heliocentric,Heliophysics,In orbit,En route
15 February 20:21:04,Antares 230+,,MARS LP-0A,MARS LP-0A,Northrop Grumman,Northrop Grumman
15 February 20:21:04,Cygnus NG-13S.S. Robert H. Lawrence,NASA,Low Earth (ISS),ISS logistics,29 May,Successful
15 February 20:21:04,Red-Eye 2,DARPA,Low Earth,Technology demonstration,In orbit,Operational 
15 February 20:21:04,Red-Eye 3,DARPA,Low Earth,Technology demonstration,In orbit,Operational 
15 February 20:21:04,⚀  DeMi,MIT,Low Earth,Technology demonstration,,
15 February 20:21:04,⚀  TechEdSat-10 (TES-10),NASA,Low Earth,Technology demonstration,,
15 February 20:21:04,"Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020.","Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020.","Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020.","Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020.","Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020.","Red-Eye 2, Red-Eye 3, DeMi, and the ELaNa 30 satellite TES-10 were carried within the Cygnus spacecraft and will be released into orbit at a later date. Red-Eye 2 was deployed into orbit from ISS on 17 June 2020. Red-Eye 3 was deployed into orbit on 23 June 2020."
17 February 15:05:55,Falcon 9 Block 5,Starlink V1.0-L4,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
17 February 15:05:55,Starlink × 60,SpaceX,Low Earth,Communications,In orbit,Operational
18 February 22:18,Ariane 5 ECA,VA252,Kourou ELA-3,Kourou ELA-3,Arianespace,Arianespace
18 February 22:18,JCSAT-17,JSAT,Geosynchronous,Communications,In orbit,Operational
18 February 22:18,GEO-KOMPSAT-2B,KARI,Geosynchronous,Ocean monitoring,In orbit,Operational
19 February 21:07,Long March 2D,2D-Y61,Xichang LC-3,Xichang LC-3,CASC,CASC
19 February 21:07,XJS-C,SAST,Low Earth,Technology demonstration,In orbit,Operational
19 February 21:07,XJS-D,SAST,Low Earth,Technology demonstration,In orbit,Operational
19 February 21:07,XJS-E,HIT,Low Earth,Technology demonstration,In orbit,Operational
19 February  21:07,XJS-F,CAST,Low Earth,Technology demonstration,In orbit,Operational
19 February 21:07,First Long March 2D launch from Xichang.,First Long March 2D launch from Xichang.,First Long March 2D launch from Xichang.,First Long March 2D launch from Xichang.,First Long March 2D launch from Xichang.,First Long March 2D launch from Xichang.
20 February 08:24:54,Soyuz-2.1a / Fregat-M,,Plesetsk Site 43/3,Plesetsk Site 43/3,RVSN RF,RVSN RF
20 February 08:24:54,Meridian-M 9 (19L),Ministry of Defence,Molniya,Communications,In orbit,Operational
7 March 04:50:31,Falcon 9 Block 5,F9-082,Cape Canaveral SLC-40,Cape Canaveral SLC-40,SpaceX,SpaceX
7 March 04:50:31,SpaceX CRS-20,NASA,Low Earth (ISS),ISS logistics,7 April18:50,Successful 
7 March 04:50:31,⚀  G-SATELLITE,TOCOG / University of Tokyo,Low Earth,Space advertising,In orbit,Operational
7 March 04:50:31,⚀  Quetzal-1 (Guatesat-1),UVG,Low Earth,Technology demonstration,In orbit,Operational
7 March 04:50:31,⚀  Lynk 4 (Lynk the World),Lynk,Low Earth,Technology demonstration,In orbit,Operational
7 March 04:50:31,"Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.","Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.","Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.","Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.","Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May.","Final flight of Dragon 1. G-SATELLITE (Gundam Satellite) carries two miniature Gundam figurines to promote the Tokyo 2020 Summer Olympics. Quetzal-1 is Guatemala's first satellite. G-SATELLITE and Quetzal-1 were deployed into orbit from the ISS on 28 April 2020. Lynk the World, Lynk's fourth satellite, was launched to the ISS on this flight and deployed into space by the Cygnus NG-13 spacecraft on 13 May."
9 March 11:55,Long March 3B/E,3B-Y69,Xichang LC-2,Xichang LC-2,CASC,CASC
9 March 11:55,BeiDou-3 G2Q,CNSA,Geosynchronous,Navigation,In orbit,Operational
16 March 13:34,Long March 7A,Y1,Wenchang LC-2,Wenchang LC-2,CASC,CASC
16 March 13:34,Xinjishu Yanzheng-6 (XJY-6),TBA,Geosynchronous,Technology demonstration,16 March,Launch failure
16 March 13:34,First flight of Long March 7A. Failed to reach orbit.,First flight of Long March 7A. Failed to reach orbit.,First flight of Long March 7A. Failed to reach orbit.,First flight of Long March 7A. Failed to reach orbit.,First flight of Long March 7A. Failed to reach orbit.,First flight of Long March 7A. Failed to reach orbit.
16 March 18:28,Soyuz-2.1b / Fregat-M,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
16 March 18:28,GLONASS-M 760,VKS,Medium Earth,Navigation,In orbit,Operational
18 March 12:16:39,Falcon 9 Block 5,Starlink V1.0-L5,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
18 March 12:16:39,Starlink × 60,SpaceX,Low Earth,Communications,In orbit,Operational
18 March 12:16:39,Fifth flight of booster B1048; recovery was not successful.,Fifth flight of booster B1048; recovery was not successful.,Fifth flight of booster B1048; recovery was not successful.,Fifth flight of booster B1048; recovery was not successful.,Fifth flight of booster B1048; recovery was not successful.,Fifth flight of booster B1048; recovery was not successful.
21 March 17:06:58,Soyuz-2.1b / Fregat,ST28,Baikonur Site 31/6,Baikonur Site 31/6,Arianespace /  Starsem,Arianespace /  Starsem
21 March 17:06:58,OneWeb × 34,OneWeb,Low Earth,Communications,In orbit,Operational
21 March 17:06:58,Baikonur flight 2.,Baikonur flight 2.,Baikonur flight 2.,Baikonur flight 2.,Baikonur flight 2.,Baikonur flight 2.
24 March 03:43,Long March 2C,2C-Y42,Xichang LC-3,Xichang LC-3,CASC,CASC
24 March 03:43,Yaogan 30-06 01,CAS,Low Earth,Reconnaissance,In orbit,Operational
24 March 03:43,Yaogan 30-06 02,CAS,Low Earth,Reconnaissance,In orbit,Operational
24 March 03:43,Yaogan 30-06 03,CAS,Low Earth,Reconnaissance,In orbit,Operational
26 March 20:18,Atlas V 551,AV-086,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
26 March 20:18,AEHF-6,U.S. Space Force,Geosynchronous,Military communications,In orbit,En route
26 March 20:18,⚀  TDO-2,U.S. Space Force,Geosynchronous,Laser ranging,In orbit,En route
9 April 08:05:06,Soyuz-2.1a,,Baikonur Site 31/6,Baikonur Site 31/6,Roscosmos,Roscosmos
9 April 08:05:06,Soyuz MS-16,Roscosmos,Low Earth (ISS),Expedition 62/63,In orbit,Docked
9 April 08:05:06,First crewed flight of Soyuz-2.1a.,First crewed flight of Soyuz-2.1a.,First crewed flight of Soyuz-2.1a.,First crewed flight of Soyuz-2.1a.,First crewed flight of Soyuz-2.1a.,First crewed flight of Soyuz-2.1a.
9 April 11:46,Long March 3B/E,3B-Y71,Xichang LC-2,Xichang LC-2,CASC,CASC
9 April 11:46,Nusantara Dua (Palapa-N1),PSN / Indosat,Geosynchronous,Communications,9 April,Launch failure
9 April 11:46,Intended to replace Palapa-D. Failed to reach orbit.,Intended to replace Palapa-D. Failed to reach orbit.,Intended to replace Palapa-D. Failed to reach orbit.,Intended to replace Palapa-D. Failed to reach orbit.,Intended to replace Palapa-D. Failed to reach orbit.,Intended to replace Palapa-D. Failed to reach orbit.
22 April 03:59,Qased,,Shahrud Missile Test Site,Shahrud Missile Test Site,IRGC,IRGC
22 April 03:59,⚀  Noor 1,IRGC,Low Earth,Reconnaissance,In orbit,Operational
22 April 03:59,First launch of the Qased.,First launch of the Qased.,First launch of the Qased.,First launch of the Qased.,First launch of the Qased.,First launch of the Qased.
22 April 19:30:30,Falcon 9 Block 5,Starlink V1.0-L6,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
22 April 19:30:30,Starlink × 60,SpaceX,Low Earth,Communications,In orbit,Operational
25 April 01:51:41,Soyuz-2.1a,,Baikonur Site 31/6,Baikonur Site 31/6,Roscosmos,Roscosmos
25 April 01:51:41,Progress MS-14 / 75P,Roscosmos,Low Earth (ISS),ISS logistics,In orbit,Operational
5 May 10:00,Long March 5B,Y1,Wenchang LC-1,Wenchang LC-1,CASC,CASC
5 May 10:00,Chinese next-generation crewed spacecraft,CNSA,Highly elliptical,Flight test,8 May05:49,Successful
5 May 10:00,Flexible Inflatable Cargo Return Module ,CASIC,Low Earth,Technology demonstration,6 May,Spacecraft failure
5 May 10:00,"First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6.","First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6.","First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6.","First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6.","First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6.","First flight of Long March 5B, testing a new crewed spacecraft. The capsule successfully returned to Earth on May 8, following on-orbit testing. An experimental secondary payload, meant to test inflatable heat shield reentry technologies, malfunctioned during its return to Earth on May 6."
12 May 01:16,Kuaizhou 1A,Y6,Jiuquan LA-4,Jiuquan LA-4,ExPace,ExPace
12 May 01:16,Xingyun-2 01,Xingyun Satellite Co.,Low Earth (SSO),IoT,In orbit,Operational
12 May 01:16,Xingyun-2 02,Xingyun Satellite Co.,Low Earth (SSO),IoT,In orbit,Operational
12 May 01:16,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.,Xingyun-2 01/02 are the first two small satellites launched for the Xingyun narrow-band Internet of Things constellation to perform data relay and tracking services. The constellation will eventually consist of 80 such satellites.
17 May 13:14:00,Atlas V 501,AV-081,Cape Canaveral SLC-41,Cape Canaveral SLC-41,ULA,ULA
17 May 13:14:00,USSF-7 (X-37B OTV-6),U.S. Space Force,Low Earth,Technology demonstration,In orbit,Operational
17 May 13:14:00,FalconSAT-8,U.S. Air Force Academy,Low Earth,Technology demonstration,In orbit,Operational
20 May 17:31:00,H-IIB,F9,Tanegashima LA-Y2,Tanegashima LA-Y2,MHI,MHI
20 May 17:31:00,HTV-9,JAXA,Low Earth (ISS),ISS logistics,In orbit,Operational
20 May 17:31:00,"Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively.","Final HTV cargo launch, and final flight of the H-IIB rocket. The HTV-X and H3 rocket will replace them, respectively."
22 May 07:31:17,Soyuz-2.1b / Fregat,,Plesetsk Site 43/4,Plesetsk Site 43/4,RVSN RF,RVSN RF
22 May 07:31:17,EKS-4 (Tundra 14L),VKS,Molniya,Early warning,In orbit,Operational
25 May 19:50,LauncherOne,F1,"Cosmic Girl, Mojave","Cosmic Girl, Mojave",Virgin Orbit,Virgin Orbit
25 May 19:50,Dummy payload,Virgin Orbit,Low Earth,Flight test,25 May,Launch failure
25 May 19:50,Starshine 4,NASA,Low Earth,Education,25 May,Launch failure
25 May 19:50,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.,First orbital flight of LauncherOne. Mission was terminated shortly after first stage ignition.
29 May 20:13,Long March 11,,Xichang,Xichang,CASC,CASC
29 May 20:13,XJS-G,CAS,Low Earth,Technology demonstration,In orbit,Operational
29 May 20:13,XJS-H,NUDT,Low Earth,Technology demonstration,In orbit,Operational
30 May 19:22:45,Falcon 9 Block 5,F9-085,Kennedy LC-39A,Kennedy LC-39A,SpaceX,SpaceX
30 May 19:22:45,SpX-DM2 Endeavour,SpaceX / NASA,Low Earth (ISS),Expedition 63 / Crewed flight test,In orbit,Operational
30 May 19:22:45,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.,Crew Dragon Demo 2: Crewed flight test of SpaceX Dragon 2 as part of the Commercial Crew Development program. Mission duration will be determined after arrival at the International Space Station. First crewed orbital spaceflight with a private spacecraft.
31 May 08:53,Long March 2D,2D-Y51,Jiuquan SLS-2,Jiuquan SLS-2,CASC,CASC
31 May 08:53,Gaofen-9 02,CNSA,Low Earth (SSO),Earth observation,In orbit,Operational
